"ID","Table"
"2","['94','87','92','91','74','74','98','96']"
"1","['77','98','82','79','75','69','78','89','88','83']"
"72","['89','100','42','74','73','77','96','86','86','98']"
"71","['83','93','95','96','82','76','80','80','90']"
"70","['78','91','86','73','85','74','75','97']"
"69","['16','48']"
"68","['73','100','76','74','97','87','86']"
"67","['67','100','57','84','82','79']"
"66","['88','94','87','92','97','84','93','96','83','26']"
"65","['86','85','81','75','73','99','97']"
"64","['86','82','74','98','85','88','32','43','18','50']"
"63","['25','10','48','17','85','32','86','29','99']"
"62","['20','20','2','70','98','100','94','80','74','44']"
"60","['43','30','31','22','21','12','29','36','50']"
"61","['45','83','88','37','80','4','84','78','40','94']"
"59","['83','48','78','3','86','52','95','20','99']"
"57","['85','74','91','73','93','81','82','95','90','84']"
"56","['78','77','91','73','83','100','99']"
"58","['6','92','97','74','77','85','83','99']"
"54","['80','85','76','73','91','99','94','92']"
"55","['80','100','77','74','91','83']"
"52","['73','82','77','98','88','84','84']"
"53","['85','84','82','79','93','83','73','91','74','94']"
"51","['90','94','100','93','19','13','83','34','49','5']"
"49","['5']"
"48","['16','69']"
"50","['18','81','43','83','84','82','21','87']"
"47","['74','89','82','84','92','86','77','73','93']"
"45","['79','82','77','74','89','96','92']"
"46","['87','94','91','83','84','100','76','89','84','98']"
"41","['95','74','94','77','90','96']"
"40","['76','92','78','90','73','94','93','98','96']"
"42","['93','86','100','85','88','100','96','95']"
"44","['80','20','20','70','94','2','62','98']"
"39","['11']"
"38","['84','80','87','74','99','95','90']"
"37","['100','90','89','92','75','74','86','92','94','98']"
"35","['82','75','78','85','84','83']"
"43","['20','86','88','92','84','79','89','10','93','97']"
"36","['90','87','81','80','99','76','74','94','43','60']"
"34","['80','81','73','100','97','97','86']"
"33","['86','100','93','88','94','83','93','98']"
"32","['83','80','82','91','81','98']"
"31","['81','95','97','87','90','89','99','82','16','2']"
"27","['84','94','73','88','81','80','99','98']"
"23","['81','91','76','83','95','79','88','77','98','99']"
"21","['34','77','99','73','80','74','18','81','87','43']"
"30","['84','89','87','82','93','78','94']"
"29","['46','73','74','88','96','94','95','25','10','63']"
"20","['32','34','43','39','64','50','49','18','21','58']"
"18","['76','88','79','97','95','93','98']"
"28","['73','100','89','75','93','80','82','97']"
"26","['88','93','92','94','96','87','97']"
"24","['84','80','99']"
"22","['76','88','93','97','86','99','98']"
"25","['90','89','88','86','85','82']"
"19","['77','87','97','84','94','100','92','89','98']"
"16","['83','87','74','76','96','91','88']"
"17","['82','100','74','87','76','82','97','91']"
"15","['86','88','100','91','88','97','96']"
"14","['83','79','87','73','100','85','90']"
"13","['85','79','88','83','86','92','91','76','98']"
"11","['39']"
"12","['79','76','82','100','99','98','95','94','92','85']"
"10","['81','91','73','78','75','83','85','98','97','95']"
"9","['100','90','95','75','84','87','88','81','97','96']"
"8","['53','67','39','42','47','27','29','25','36','11']"
"7","['86','90','10','59','14','92','99','98']"
"6","['92','73','87','76','100','82','77','90','94']"
"5","['13','90','19','83','34','49','93','51','94']"
"4","['80','94','89','75','100','81','91','95']"
"2","['90','95','89','16','87','82','31','97']"
"3","['85','75','87','73','95','84','99']"
"1","['77','98','82','79','75','69','89','88','83','78']"
"72","['87','93','92','91','80','83','97','90','99']"
"71","['83','93','95','82','76','80','80','90','96']"
"70","['94','83','89','81','100','99','99']"
"69","['48','80','74','96','84','92','99','81','86','16']"
"68","['80','85','88','95','75','89','90','77','98']"
"67","['91','77','73','88','90','75','95','95']"
"65","['85','81','75','73','99','97','86']"
"66","['84','14','86','80','100','91','1','93','83','88']"
"64","['50','84','81','83','21','87','98','86','82','43']"
"63","['74','88','94','95','73','46','96']"
"62","['73','75','74','85','79','88','83','89','100','20']"
"60","['76','81','80','94','87','99']"
"61","['45','83','37','80','4','84','78','40','94','88']"
"55","['100','77','74','91','83','80']"
"57","['92','88','76','86','89','92','98']"
"52","['73','77','98','88','84','84','82']"
"56","['75','88','81','97','94','98']"
"59","['83','48','78','3','86','52','20','99','95']"
"58","['90','97','82','76','88','80','93','86','99']"
"54","['79','77','89','74','81','98']"
"53","['85','84','82','79','83','73','91','74','94','93']"
"50","['90','80','76','74','95','100','97']"
"51","['87','73','79','92','86','82','96','84','88','100']"
"49","['5','93','34','51','83','19','90','13','94']"
"48","['69','80','92','96','74','81','86','99','84','16']"
"46","['83','90','74','76','82','94']"
"47","['74','89','82','84','86','77','73','93','92']"
"44","['80','20','20','70','2','62','98','94']"
"45","['75','88','90','74','76','85','77','93']"
"43","['84','81','86','21','64','87']"
"42","['86','100','85','88','100','96','95','93']"
"39","['11','79','96','85','80','91','88','99']"
"40","['76','92','78','90','73','93','98','96','94']"
"41","['81','83','79','100','73','93','85','99']"
"37","['100','90','89','75','74','86','92','94','98','92']"
"38","['84','80','74','99','95','90','87']"
"36","['89','82','91','77','75','93']"
"34","['80','73','100','97','97','86','81']"
"35","['75','78','85','84','83','82']"
"32","['83','80','82','81','98','91']"
"33","['86','100','93','88','83','93','98','94']"
"31","['80','77','82','96','78','87','76','94','98']"
"22","['76','88','93','86','99','98','97']"
"30","['84','89','87','82','78','94','93']"
"29","['85','32','86','99','48','17','74','96','88','10']"
"28","['85','88','79','74','77','95','86','96']"
"27","['84','73','88','81','80','99','98','94']"
"26","['98','81','73','91','79','85','79','99']"
"25","['87','84','77','73','92','75','73','99']"
"24","['93','82','79','77','76','89','95','88','98']"
"23","['81','91','76','83','95','79','88','77','99','98']"
"21","['88','97','10','84','86','79','93','89','92','80']"
"20","['79','75','100','73','62','89']"
"19","['77','87','84','94','100','92','89','98','97']"
"18","['76','88','79','95','93','98','97']"
"17","['82','100','74','76','82','97','91','87']"
"16","['74','92','96']"
"15","['86','88','100','88','97','96','91']"
"14","['83','79','73','100','85','90','87']"
"13","['85','79','88','83','86','91','76','98','92']"
"12","['79','76','100','99','98','95','94','92','85','82']"
"11","['47','36','25','42','27','53','29','8']"
"10","['17','48','32','74','85','99']"
"9","['100','90','75','84','87','88','81','97','96','95']"
"8","['74','94','92','84','86','89','73','83','98']"
"7","['86','90','10','59','14','99','98','92']"
"6","['83','91','93','84','79','74','81','75','81','97']"
"5","['13','90','19','83','34','49','51','94','93']"
"4","['78','97','76','99']"
"3","['85','75','87','73','84','99','95']"
"2","['90','89','16','87','82','31','97','95']"
"1","['77','98','82','79','75','89','88','83','78','69']"
"72","['87','93','92','91','80','83','90','99','97']"
"71","['83','93','82','76','80','80','90','96','95']"
"70","['94','83','89','81','100','99','99']"
"69","['75','78','82','77','79','1','89']"
"67","['81','95','77','97','93','98']"
"66","['81','97','79','90','75','73','85','77','98','99']"
"68","['80','85','88','75','89','90','77','98','95']"
"64","['50','88','75','91','79','95','76','82','84','98']"
"65","['80','94','93','82','84','95']"
"63","['74','88','94','73','46','96','95']"
"62","['32','77','99','34','6','97','92','79','75','88']"
"61","['45','83','37','80','4','78','40','94','88','84']"
"60","['77','92','93','74','86','89','85','77','95']"
"59","['83','48','78','3','52','20','99','95','86']"
"58","['77','78','74','79']"
"57","['88','76','86','89','92','98','92']"
"56","['80','74','84','83','78','90','86','78','91']"
"55","['100','74','91','83','80','77']"
"54","['79','77','74','81','98','89']"
"50","['90','80','76','74','100','97','95']"
"52","['80','87','88','82','81','77','93']"
"53","['85','84','82','79','83','73','74','94','93','91']"
"49","['5','34','51','83','19','90','13','94','93']"
"51","['87','73','79','92','86','82','84','88','100','96']"
"48","['69','80','92','96','74','81','86','84','16','99']"
"47","['86','93','77','97']"
"46","['83','74','76','82','94','90']"
"42","['86','100','85','100','96','95','93','88']"
"45","['75','88','74','76','85','77','93','90']"
"41","['81','83','79','100','73','85','99','93']"
"40","['87','88','74','84','95']"
"44","['20','20','70','2','62','98','94','80']"
"43","['77','79','83','80','85','90','96','88','99']"
"38","['80','74','99','95','90','87','84']"
"37","['100','90','89','75','74','86','94','98','92','92']"
"39","['90','82','84','74','92','76','93','94','87','95']"
"36","['89','82','77','75','93','91']"
"35","['75','85','84','83','82','78']"
"34","['73','100','97','97','86','81','80']"
"33","['78','75','90','80','87','96','73','92','95','93']"
"31","['80','77','82','78','87','76','94','98','96']"
